Tube_Line,From_Station,To_Station,Tube_Line_Code,From_Station_Lat,From_Station_Long,To_Station_Lat,To_Station_Long,Rank,Random_Factor,x,L,Loading_Factor
Bakerloo,Harrow and Wealdstone,Kenton,BKL,51.59259463,-0.334252685,51.58149628,-0.315216867,1,5,1.208333333,1217.764158,0.993085278
Bakerloo,Kenton,South Kenton,BKL,51.58149628,-0.315216867,51.57104445,-0.308142977,2,7,2.416666667,3800.880114,3.099613384
